# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16 16 1.000000000000000e+00 1.000000000000000e+00 2.857142857142857e+00 3.500000000000000e-01 -2.371531197813208e+00 -8.809982475689215e-01 4.872095940194137e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.816901408450704e+00 3.550000000000000e-01 -2.350679280707003e+00 -9.011989709057651e-01 5.174259492591585e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.777777777777778e+00 3.600000000000000e-01 -2.330691807693183e+00 -9.220854269479482e-01 5.510788670767246e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.739726027397260e+00 3.650000000000000e-01 -2.311543306076817e+00 -9.437573418760392e-01 5.889483512626881e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.702702702702703e+00 3.700000000000000e-01 -2.293211181027940e+00 -9.663378560339941e-01 6.320008898508321e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.666666666666667e+00 3.750000000000000e-01 -2.275675864362024e+00 -9.899777207551694e-01 6.813955056801972e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.631578947368421e+00 3.799999999999999e-01 -2.258921001409939e+00 -1.014858451603328e+00 7.384493608603776e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.597402597402597e+00 3.850000000000000e-01 -2.242933648216817e+00 -1.041192620177656e+00 8.045265818054490e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.564102564102564e+00 3.900000000000000e-01 -2.227704423987054e+00 -1.069218356589890e+00 8.808005153728623e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.531645569620253e+00 3.950000000000000e-01 -2.213227524608328e+00 -1.099183962587153e+00 9.678370743305619e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.500000000000000e+00 4.000000000000000e-01 -2.199500456600350e+00 -1.131317984410728e+00 1.064976882853428e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.469135802469136e+00 4.050000000000000e-01 -2.186523313051087e+00 -1.165781492801192e+00 1.169585757224607e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.439024390243902e+00 4.100000000000000e-01 -2.174297417263233e+00 -1.202604391106335e+00 1.276409538977910e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.409638554216868e+00 4.150000000000000e-01 -2.162823252113430e+00 -1.241617142650411e+00 1.377455695894904e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.380952380952381e+00 4.200000000000000e-01 -2.152097806035608e+00 -1.282400821625735e+00 1.462864417005469e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.352941176470588e+00 4.250000000000000e-01 -2.142111768466327e+00 -1.324284201399015e+00 1.522916428272581e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.325581395348837e+00 4.300000000000000e-01 -2.132847264394032e+00 -1.366407156275547e+00 1.550648834222920e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.298850574712644e+00 4.350000000000001e-01 -2.124276836047418e+00 -1.407843138524874e+00 1.543939347896686e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.272727272727273e+00 4.399999999999999e-01 -2.116364055435367e+00 -1.447743464827726e+00 1.505988602541510e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.247191011235955e+00 4.450000000000000e-01 -2.109065605749182e+00 -1.485454144657033e+00 1.443996477089230e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.222222222222222e+00 4.500000000000000e-01 -2.102334199938204e+00 -1.520571539354573e+00 1.366826239875787e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.197802197802198e+00 4.550000000000001e-01 -2.096121554857481e+00 -1.552933841500399e+00 1.282798992711293e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.173913043478261e+00 4.600000000000000e-01 -2.090380820696931e+00 -1.582569740895681e+00 1.198358730680638e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.150537634408602e+00 4.650000000000000e-01 -2.085068199341646e+00 -1.609632427487277e+00 1.117703079722246e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.127659574468085e+00 4.700000000000000e-01 -2.080143777479501e+00 -1.634339919298627e+00 1.043064954796876e+00
16 16 1.000000000000000e+00 1.000000000000000e+00 2.105263157894737e+00 4.750000000000000e-01 -2.075571758835544e+00 -1.656931294065940e+00 9.752584912390611e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.083333333333333e+00 4.800000000000000e-01 -2.071320314791580e+00 -1.677639617653183e+00 9.142214225659605e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.061855670103093e+00 4.849999999999999e-01 -2.067361236902094e+00 -1.696678050722913e+00 8.594338475748711e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.040816326530612e+00 4.900000000000000e-01 -2.063669517028630e+00 -1.714234674541338e+00 8.101937420200097e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.020202020202020e+00 4.950000000000000e-01 -2.060222928472252e+00 -1.730472297253015e+00 7.657755353055058e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.057001644015791e+00 -1.745530668990919e+00 7.255087677365626e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.980198019801980e+00 5.050000000000000e-01 -2.053987903810643e+00 -1.759529565333966e+00 6.888085806821006e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.960784313725490e+00 5.100000000000000e-01 -2.051165733746537e+00 -1.772571926260027e+00 6.551803257581519e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.941747572815534e+00 5.150000000000000e-01 -2.048520709369906e+00 -1.784746685131884e+00 6.242120907462514e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.923076923076923e+00 5.200000000000000e-01 -2.046039758594115e+00 -1.796131168473317e+00 5.955628642310887e-01
