Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1671204371.564	     1.794	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.857142857142857
2	:	1671204371.625	     1.788	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.8169014084507045
3	:	1671204371.678	     1.796	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.7777777777777777
4	:	1671204371.745	     1.802	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.73972602739726
5	:	1671204371.809	     1.799	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.7027027027027026
6	:	1671204371.877	     1.814	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.6666666666666665
7	:	1671204371.937	     1.839	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.6315789473684212
8	:	1671204371.997	     1.851	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.5974025974025974
9	:	1671204372.052	     1.862	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.564102564102564
10	:	1671204372.124	     1.866	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.531645569620253
11	:	1671204372.185	     1.871	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.5
12	:	1671204372.255	     1.866	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.4691358024691357
13	:	1671204372.310	     1.893	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.4390243902439024
14	:	1671204372.370	     1.911	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.4096385542168677
15	:	1671204372.428	     1.924	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.380952380952381
16	:	1671204372.478	     1.950	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.3529411764705883
17	:	1671204372.527	     1.973	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.3255813953488373
18	:	1671204372.593	     1.980	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 2.2988505747126435
